Time,yPosition,yVelocity,yAcceleration
19356.207,-1837.2694,-0.12645914,-2.7382574E-11
19388.572,-1841.3624,-0.12645914,-2.7428487E-11
19420.984,-1845.4612,-0.12645914,-2.747435E-11
19453.406,-1849.5612,-0.12645914,-2.7520278E-11
19485.78,-1853.655,-0.12645914,-2.7566222E-11
19518.168,-1857.751,-0.12645914,-2.7612095E-11
19550.523,-1861.8427,-0.12645914,-2.765799E-11
19582.908,-1865.938,-0.12645914,-2.770384E-11
19615.31,-1870.0356,-0.12645914,-2.774973E-11
19647.736,-1874.1361,-0.12645914,-2.7795646E-11
19680.182,-1878.2391,-0.12645914,-2.7841594E-11
19712.678,-1882.3485,-0.12645914,-2.788757E-11
19745.098,-1886.4482,-0.12645914,-2.7933619E-11
19777.488,-1890.5443,-0.12645914,-2.797956E-11
19809.82,-1894.6329,-0.12645914,-2.8025457E-11
19842.195,-1898.7272,-0.12645914,-2.8071273E-11
19874.549,-1902.8185,-0.12645914,-2.811715E-11
19906.883,-1906.9075,-0.12645914,-2.8162996E-11
19939.215,-1910.9962,-0.12645914,-2.8208815E-11
19971.496,-1915.0786,-0.12645914,-2.825463E-11
20003.793,-1919.1628,-0.12645914,-2.8300374E-11
20036.021,-1923.2384,-0.12645914,-2.834614E-11
20068.28,-1927.3179,-0.12645914,-2.839181E-11
20100.52,-1931.3949,-0.12645914,-2.843752E-11
20132.81,-1935.4784,-0.12645914,-2.8483205E-11
20165.041,-1939.5542,-0.12645914,-2.8528962E-11
20197.262,-1943.6288,-0.12645914,-2.8574634E-11
20229.512,-1947.7072,-0.12645914,-2.8620292E-11
20261.719,-1951.7799,-0.12645914,-2.8665991E-11
20293.914,-1955.8512,-0.12645914,-2.871163E-11
20326.166,-1959.9298,-0.12645914,-2.8757254E-11
20358.418,-1964.0083,-0.12645914,-2.8802955E-11
20390.627,-1968.0813,-0.12645914,-2.8848658E-11
20422.861,-1972.1577,-0.12645914,-2.8894298E-11
20455.066,-1976.2303,-0.12645914,-2.8939975E-11
20487.334,-1980.3109,-0.12645914,-2.8985613E-11
